13,8604,5663,5659,8611,8665,8544,8602,8622,8620,8564,8602,5681,8632,8633,8596
14,8603,5659,5657,8610,8665,8544,8602,8621,8620,8566,8601,5677,8631,8634,8596
13,8604,5664,5655,8610,8665,8544,8602,8621,8620,8566,8602,5678,8633,8633,8596
14,8604,5663,5656,8610,8665,8544,8602,8621,8620,8567,8602,5678,8632,8634,8596
13,8604,5663,5656,8610,8665,8544,8602,8622,8620,8566,8602,5675,8631,8633,8595
14,8603,5662,5656,8610,8665,8544,8602,8621,8621,8567,8602,5681,8632,8634,8596
13,8603,5663,5654,8610,8665,8544,8602,8621,8621,8565,8602,5678,8632,8633,8596
13,8603,5661,5654,8610,8665,8544,8602,8622,8621,8567,8601,5685,8631,8633,8597
14,8603,5663,5659,8611,8665,8544,8602,8622,8620,8567,8600,5678,8631,8633,8596
14,8604,5663,5654,8610,8665,8544,8602,8622,8620,8566,8600,5681,8632,8634,8596
13,8604,5664,5656,8611,8665,8544,8602,8621,8621,8565,8601,5674,8633,8634,8597
14,8603,5662,5654,8611,8664,8544,8602,8620,8621,8566,8602,5685,8633,8634,8596
14,8603,5662,5658,8609,8664,8544,8602,8621,8621,8566,8602,5678,8632,8633,8596
14,8604,5663,5658,8610,8664,8543,8602,8622,8622,8565,8602,5681,8631,8633,8596
14,8603,5663,5657,8610,8664,8544,8602,8620,8620,8566,8600,5685,8632,8632,8595
14,8604,5661,5657,8610,8664,8544,8601,8621,8620,8565,8601,5677,8631,8633,8596
13,8603,5661,5659,8610,8664,8544,8602,8620,8620,8567,8599,5682,8631,8633,8596
14,8604,5664,5662,8610,8665,8544,8602,8622,8621,8566,8601,5680,8632,8633,8597
13,8603,5667,5667,8611,8665,8544,8602,8622,8620,8565,8603,5682,8632,8634,8597
13,8604,5668,5669,8611,8665,8544,8602,8621,8622,8566,8602,5685,8631,8633,8596
13,8604,5671,5673,8610,8664,8544,8602,8621,8620,8564,8602,5685,8632,8633,8597
14,8603,5671,5673,8610,8665,8544,8602,8621,8620,8565,8601,5681,8632,8633,8595
13,8604,5673,5677,8612,8665,8548,8613,8621,8620,8566,8602,5680,8632,8634,8604
13,8605,5671,5673,8611,8665,8545,8604,8626,8633,8571,8601,5676,8648,8654,8610
14,8604,5665,5663,8606,8666,8543,8602,8620,8633,8577,8603,5678,8653,8645,8607
13,8604,5664,5656,8606,8666,8543,8602,8620,8632,8577,8603,5678,8648,8639,8607
13,8604,5664,5660,8606,8666,8543,8602,8621,8634,8577,8604,5676,8647,8638,8607
14,8603,5663,5661,8606,8666,8543,8602,8619,8633,8577,8603,5674,8645,8636,8607
14,8604,5662,5656,8606,8666,8543,8601,8619,8633,8578,8603,5683,8645,8635,8607
